Common name,Prefire_counts,Postfire_counts,Guild_type,Foraging_substrate,Breeding
Cooper’s Hawk,1,2,carnivore,aerial,breeding
Western Scrub Jay,21,44,omnivore,multiple,breeding
Oak Titmouse,1,0,omnivore,multiple,breeding
Red-tailed Hawk,4,7,carnivore,aerial,breeding
California Quail,4,4,granivore,ground,breeding
Anna’s Hummingbird,5,12,nectar,flower,breeding
Wilson’s Warbler,0,2,insectivore,shrub,nonbreeding
Turkey Vulture,4,2,carnivore,ground,nonbreeding
American Crow,16,0,omnivore,ground,breeding
Wrentit,33,7,insectivore,shrub,breeding
Lesser Nighthawk,2,0,insectivore,aerial,breeding
Common Raven,0,38,omnivore,ground,breeding
Nuttall’s Woodpecker,1,0,insectivore,shrub,breeding
House Finch,31,0,granivore,ground,breeding
Hooded Oriole,1,0,insectivore,shrub,breeding
Song Sparrow,0,1,omnivore,ground,breeding
California Towhee,21,24,omnivore,ground,breeding
Northern Mockingbird,1,2,insectivore,multiple,breeding
Lazuli Bunting,0,13,omnivore,multiple,breeding
Phainopepla,4,0,omnivore,multiple,breeding
Spotted Towhee,18,11,omnivore,ground,breeding
Western Tanager,0,1,omnivore,multiple,nonbreeding
Black-headed Grosbeak,2,4,insectivore,multiple,breeding
Bushtit,36,4,insectivore,shrub,breeding
Say’s Phoebe,0,2,insectivore,aerial,breeding
Allen’s Hummingbird,0,4,nectar,flower,breeding
Yellow-rumped Warbler,1,14,omnivore,multiple,nonbreeding
Black-throated Gray Warbler,0,1,insectivore,shrub,breeding
Townsend’s Warbler,0,1,insectivore,shrub,nonbreeding
Western Bluebird,1,11,omnivore,multiple,nonbreeding
Lesser Goldfinch,17,28,granivore,shrub,breeding
Western Meadowlark,0,2,insectivore,ground,breeding
Bewick’s Wren,9,0,insectivore,shrub,breeding
California Thrasher,12,12,insectivore,ground,breeding
Western Kingbird,0,44,insectivore,aerial,breeding
Mourning Dove,53,17,granivore,ground,breeding
White-crowned Sparrow,0,36,omnivore,ground,unknown
