Group,Tree number,Circumference (cm),Angle (degrees),Distance (cm),Observer height (cm),Fruit present,Tree height (cm)
1,1,32,38.9,441.1,170.18,1,526.1028311
1,6,27,25,441.1,170.18,1,375.868308
1,12,29,32.9,441.1,170.18,1,455.5403875
1,13,68,54.9,441.1,170.18,1,797.8018158
1,14,63.75,34.5,441.1,170.18,1,473.3396308
1,23,91,61.6,441.1,170.18,1,985.9773839
1,24,116.75,53.5,441.1,170.18,1,766.2924374
1,25,15,6.8,441.1,170.18,1,222.7779906
1,26,77,58.7,441.1,170.18,1,895.6620494
1,34,22,25.2,441.1,170.18,1,377.7459044
1,35,26,33.9,441.1,170.18,1,466.586899
1,38,3.5,14.2,441.1,170.18,1,281.7954592
1,39,39,36.8,441.1,170.18,1,500.1649599
1,46,74.1,48.2,441.1,170.18,1,663.5235026
1,47,97,64.1,441.1,170.18,1,1078.589596
1,48,24,28.6,441.1,170.18,1,410.6755272
1,50,104,60.9,441.1,170.18,1,962.680285
1,57,57,40.1,441.1,170.18,1,541.6206902
1,58,25,11.9,441.1,170.18,1,263.1343495
1,65,103,58.7,441.1,170.18,1,895.6620494
1,66,95,44.9,441.1,170.18,1,609.7429516
1,68,25,32.5,441.1,170.18,1,451.191692
1,70,70,56.8,441.1,170.18,1,844.2514548
1,73,49.5,0.7,441.1,170.18,1,175.5693213
1,76,47,19.1,441.1,170.18,1,322.92457
1,79,30,14.9,441.1,170.18,1,287.5476351
1,80,20,42.5,441.1,170.18,1,574.3736809
2,3,81,42.4,850,152,1,928.1566582
2,4,74,40.5,870,152,1,895.0501964
2,5,112,34.7,720,152,1,650.5516362
2,6,24,20.8,545,152,1,359.0260792
2,7,82,44.5,697,152,1,836.9399924
2,9,30,26.3,530,152,1,413.9423152
2,10,73,41.2,730,152,1,791.0666907
2,12,20,23.5,522,152,1,378.9720597
2,15,16,6.5,186,152,1,173.1920231
2,19,36,24.5,305,152,1,290.9965079
2,24,72,55.5,609,152,1,1038.100498
2,25,80,58.2,509,152,1,972.9329595
2,26,30,34.3,504,152,1,495.8054897
2,27,27,36.5,465,152,1,496.0818999
2,28,28,27.6,359,152,1,339.6806645
2,33,21,41.8,480,152,1,581.1695318
2,43,88,46.3,487,152,1,661.6163897
2,45,100,53.6,528,152,1,868.1617781
2,46,27,37.9,465,152,1,513.9926235
2,48,27,22.5,453,152,1,339.6387438
2,49,30,28.7,513,152,1,432.8592962
2,50,39,24.9,393,152,1,334.4245263
2,57,22,22.5,350,152,1,296.9747468
2,61,24,31.5,435,152,1,418.5683428
2,63,36,32.1,371,152,1,384.7278613
2,66,77,63.3,341,152,1,830.0030321
2,71,35,20.8,345,152,1,283.0532061
2,72,26,13.4,413,152,1,250.3904785
2,73,35,36.9,403,152,1,454.5809589
2,79,26,25.3,346,152,1,315.5534507
3,1,85.3,32.7,495,188.97,1,506.7543521
3,2,39.9,21.1,445,188.97,1,360.6812092
3,6,80.1,37.6,551,188.97,1,613.2971235
3,9,24.8,21,421,188.97,1,350.5767587
3,10,25.8,24.2,455,188.97,1,393.4551079
3,11,24.2,15.2,362,188.97,1,287.3232232
3,12,31.5,22.1,520,188.97,1,400.1201041
3,13,26.4,21.4,386,188.97,1,340.2417459
3,21,14,5.4,450,188.97,1,231.507524
3,25,21,17.1,642,188.97,1,386.4749889
3,33,16.2,9.2,284,188.97,1,234.9679629
3,42,74.8,39.5,555,188.97,1,646.4766941
3,46,79.4,40.8,644,188.97,1,744.8558883
3,47,79.2,39.4,637,188.97,1,712.207699
3,65,17,20.3,407,188.97,1,339.5238716
3,66,73,39,578,188.97,1,657.0251712
3,67,119,36.8,540,188.97,1,592.9416126
3,68,82,44.3,596,188.97,1,770.582039
3,76,16,22.6,400,188.97,1,355.4739297
3,77,24,12.6,379,188.97,1,273.686537
4,3,75.4,51.4,500,173.736,1,800.0751819
4,5,52.1,24.3,500,173.736,1,399.4946565
4,8,85.3,49.1,500,173.736,1,750.9517878
4,13,61.3,34.3,500,173.736,1,514.8128747
4,16,67,48,500,173.736,1,729.0422574
4,18,16,19.6,500,173.736,1,351.7779914
4,25,73.1,49.6,500,173.736,1,761.2340125
4,29,71.4,52.7,500,173.736,1,830.0798182
4,34,26.4,19.1,500,173.736,1,346.8765237
4,38,25,28.7,500,173.736,1,447.4780041
4,40,31,21,500,173.736,1,365.6680175
4,41,111.4,57.5,500,173.736,1,958.5787886
4,42,119.1,50.1,500,173.736,1,771.7292906
